Predictor variable,Categorical,Sample average
CHELSA_bio13_1981-2010_V.2.1,false,238.0770586350385
CHELSA_bio14_1981-2010_V.2.1,false,1.8749999963842772
CHELSA_bio15_1981-2010_V.2.1,false,137.78705865074608
CHELSA_bio18_1981-2010_V.2.1,false,192.76029418987386
CHELSA_bio19_1981-2010_V.2.1,false,16.64529412984848
CHELSA_bio2_1981-2010_V.2.1,false,10.377941203818601
CHELSA_bio3_1981-2010_V.2.1,false,0.42453529422774033
CHELSA_bio5_1981-2010_V.2.1,false,37.50352940278895
CHELSA_bio8_1981-2010_V.2.1,false,28.720588235294116
CHELSA_gsl_1981-2010_V.2.1,false,165.65588235294118
CHELSA_hurs_mean_1981-2010_V.2.1,false,52.24899999955121
CHELSA_hurs_range_1981-2010_V.2.1,false,19.63299998255337
CHELSA_scd_1981-2010_V.2.1,false,0.7411764705882353
wc2.1_30s_elev,false,140.52941176470588
