Predictor variable,Categorical,Sample average
CHELSA_bio13_1981-2010_V.2.1,false,171.22406405688608
CHELSA_bio14_1981-2010_V.2.1,false,7.502673740294528
CHELSA_bio15_1981-2010_V.2.1,false,93.35614956126494
CHELSA_bio18_1981-2010_V.2.1,false,307.1620310411097
CHELSA_bio19_1981-2010_V.2.1,false,49.30534785890324
CHELSA_bio2_1981-2010_V.2.1,false,12.055614945722777
CHELSA_bio3_1981-2010_V.2.1,false,0.5477058771141072
CHELSA_bio5_1981-2010_V.2.1,false,29.015775420448996
CHELSA_cmi_min_1981-2010_V.2.1,false,-132.38074875897902
CHELSA_gsl_1981-2010_V.2.1,false,181.93582887700535
CHELSA_hurs_max_1981-2010_V.2.1,false,61.383048174852995
CHELSA_hurs_min_1981-2010_V.2.1,false,44.97251337224787
CHELSA_ngd5_1981-2010_V.2.1,false,362.11764705882354
CHELSA_scd_1981-2010_V.2.1,false,0.0
wc2.1_30s_elev,false,1282.5294117647059
